152,152. Игривая лисичка,2021-08-16,0,0,0,0,1,5.0,2,18,0.1111111111111111
153,153. Дедушка Мухомор,2021-08-16,0,0,0,0,0,0,0,21,0.0
154,154. Волшебное дерево,2021-08-16,0,0,0,0,0,0,0,27,0.0
155,155. Совиная семья,2021-08-16,0,0,0,0,0,0,0,15,0.0
156,156. Мудрый ворон,2021-08-16,0,0,0,0,0,0,1,13,0.07692307692307693
157,157. Милый оленёнок,2021-08-16,0,0,0,0,0,0,1,23,0.043478260869565216
158,158. Любопытный енот,2021-08-16,0,0,0,0,0,0,1,12,0.08333333333333333
159,159. Лесная маска,2021-08-16,0,0,0,0,1,5.0,1,37,0.02702702702702703
160,160. Ёжик в цветочном горшке,2021-08-16,0,0,0,0,0,0,0,22,0.0
161,161. Танцующий тюльпанчик,2021-08-16,0,0,0,0,2,5.0,2,32,0.0625
162,162. Солнечный слон,2021-08-16,0,0,0,0,7,5.0,13,227,0.05726872246696035
163,163. Сердитая обезьянка,2021-08-16,0,0,0,0,0,0,0,5,0.0
164,164. Путешествие хомячка,2021-08-16,0,0,0,0,1,5.0,2,52,0.038461538461538464
165,165. Панда соня,2021-08-16,0,0,0,0,0,0,0,11,0.0
166,166. Мечтающий песик,2021-08-16,0,0,0,0,1,5.0,3,101,0.0297029702970297
167,167. Лемур Катта,2021-08-16,0,0,0,0,2,5.0,4,43,0.09302325581395349
168,168. Коровка на лугу,2021-08-16,0,0,0,0,0,0,1,17,0.058823529411764705
169,169. Каланчик с печеньем,2021-08-16,0,0,0,0,0,0,1,62,0.016129032258064516
170,170. Воришка меда,2021-08-16,0,0,0,0,1,5.0,3,58,0.05172413793103448
171,171. Танцор диско,2021-08-16,0,0,0,0,0,0,1,38,0.02631578947368421
172,172. Сонная открытка,2021-08-16,0,0,0,0,0,0,1,22,0.045454545454545456
173,173. Семейка панд,2021-08-16,0,0,0,0,0,0,0,46,0.0
174,174. Пушистый автомобилист,2021-08-16,0,0,0,0,0,0,1,16,0.0625
175,175. Пластилиновый пушистик,2021-08-16,0,0,0,1,2,4.666666666666667,3,62,0.04838709677419355
176,176. Пандовая закладка,2021-08-16,0,0,0,0,7,5.0,8,97,0.08247422680412371
177,177.  Панда на каникулах,2021-08-16,0,0,0,0,1,5.0,3,33,0.09090909090909091
178,178. Милая мордашка,2021-08-16,0,0,0,0,0,0,0,26,0.0
179,179. Ленивые выходные,2021-08-16,0,0,1,0,1,4.0,3,58,0.05172413793103448
180,180. Бамбуковый медальон,2021-08-16,0,0,0,0,0,0,0,8,0.0
181,181. Чудовище Несси,2021-08-16,0,0,0,0,0,0,0,34,0.0
182,182. Тираннозавр,2021-08-16,0,0,0,0,0,0,0,8,0.0
